Country,total_cases,total_deaths,latitude,longitude,Population,Density(P/KMsq),Land_Area
Afghanistan,229524001,8922687,33.93911,67.709953,42239854,65,652860
Albania,332165775,4067833,41.153332,20.168331,2832439,103,27400
Algeria,302386488,7927598,28.033886,1.659626,45606480,19,2381740
American Samoa,6308947,25829,-14.270972,-170.132217,43914,220,200
Andorra,45675891,196698,42.546245,1.601554,80088,170,470
Angola,106918389,2083898,-11.202692,17.873887,36684202,29,1246700
Anguilla,3298860,9931,18.220554,-63.068615,15899,177,90
Antigua and Barbuda,8320220,144612,17.060816,-61.796428,94298,214,440
Argentina,10113409510,152262484,-38.416097,-63.616672,45773884,17,2736690
Armenia,484082328,9567564,40.069099,45.038189,2777970,98,28470
Aruba,41396794,275427,12.52111,-69.968338,106277,590,180
Australia,8493824770,16268239,-25.274398,133.775136,26439111,3,7682300
Austria,4882744782,23599570,47.516231,14.550072,8958960,109,82409
Azerbaijan,860032966,10789492,40.143105,47.576927,10412651,126,82658
Bahamas,38312028,868897,25.03428,-77.39628,412623,41,10010
Bahrain,663390107,1742051,26.0667,50.5577,1485509,1955,760
Bangladesh,2210791531,33094023,23.685,90.3563,172954319,1329,130170
Barbados,87832467,494170,13.193887,-59.543198,281995,656,430
Belarus,1031253106,7487115,53.709807,27.953389,9498238,47,202910
Belgium,4410937009,40887186,50.503887,4.469936,11686140,386,30280
Belize,65482349,742632,17.189877,-88.49765,410825,18,22810
Benin,29212611,190633,9.30769,2.315834,13712828,122,112760
Bermuda,16258930,151841,32.321384,-64.75737,64069,1281,50
Bhutan,49990477,17493,27.514162,90.433601,787424,21,38117
Bolivia,1136089210,26225214,-16.290154,-63.588653,12388571,11,1083300
Bonaire Sint Eustatius and Saba,10227722,39108,12.20189,-68.262383,,,
Bosnia and Herzegovina,425320108,17548259,43.915886,17.679076,3210847,63,51000
Botswana,318942181,2912491,-22.328474,24.684866,2675352,5,566730
Brazil,37650987467,796385382,-14.235004,-51.92528,216422446,26,8358140
British Virgin Islands,6698506,61370,18.420695,-64.639968,31538,210,150
Brunei,220818600,131603,4.535277,114.727669,,,
Bulgaria,1258263763,39808430,42.733883,25.48583,6687717,62,108560
Burkina Faso,24306290,421478,12.238333,-1.561593,23251485,85,273600
Burundi,47235150,16465,-3.373056,29.918886,13238559,516,25680
Cambodia,140722266,3092800,12.565679,104.990963,16944826,96,176520
Cameroon,139221006,2239496,7.369722,12.354722,28647293,61,472710
Canada,4328297090,53408711,56.130366,-106.346771,38781291,4,9093510
Cape Verde,65814298,465021,16.002082,-24.013197,,,
Cayman Islands,25857734,30116,19.3133,-81.2546,69310,289,240
Central African Republic,17836243,142738,6.611111,20.939444,5742315,9,622980
Chad,8593447,248512,15.454166,18.732207,18278568,15,1259200
Chile,4693622404,65482832,-35.675147,-71.542969,19629590,26,743532
China,52834165036,70720410,35.86166,104.195397,1425671352,152,9388211
Colombia,7012651860,163358773,4.570868,-74.297333,52085168,47,1109500
Comoros,9128387,191113,-11.875001,43.872219,852075,458,1861
Congo,27295176,423518,-0.228021,15.827659,6106869,18,341500
Cook Islands,5269597,1241,-21.236736,-159.777671,17044,71,240
Costa Rica,1121841340,9745661,9.748917,-83.753428,5212173,102,51060
Cote d'Ivoire,96949555,886048,7.539989,-5.54708,,,
Croatia,1215874945,18180189,45.1,15.2,4008617,72,55960
Cuba,1116145860,8695222,21.521757,-77.781167,11194449,105,106440
Curacao,43383779,294739,12.1696,-68.99002,,,
Cyprus,548976038,1238758,35.126413,33.429859,1260138,136,9240
Czechia,4520106414,47409880,49.817492,15.472962,,,
Democratic Republic of Congo,100521558,1685250,-4.038333,21.758664,,,
Denmark,2948674588,7894215,56.26392,9.501785,5910913,139,42430
Djibouti,18732059,227045,11.825138,42.590275,1136455,49,23180
Dominica,13669260,65041,15.414999,-61.370976,73040,97,750
Dominican Republic,691146843,5534209,18.735693,-70.162651,11332972,235,48320
Ecuador,1054160171,42284787,-1.831239,-78.183406,18190484,73,248360
Egypt,561535727,28175771,26.820553,30.802498,112716598,113,995450
El Salvador,202311400,4758595,13.794185,-88.89653,6364943,307,20720
England,,,52.3555177,-1.1743197,,,
Equatorial Guinea,19069716,220515,1.650801,10.267895,1714671,61,28050
Eritrea,10720672,99475,15.179384,39.782334,3748901,37,101000
Estonia,552523803,2831754,58.595272,25.013607,1322765,31,42390
Eswatini,76003950,1567488,-26.522503,31.465866,1210822,70,17200
Ethiopia,541784963,8371069,9.145,40.489673,126527060,127,1000000
Faeroe Islands,29964964,24990,61.892635,-6.911806,53270,38,1396
Falkland Islands,1447794,,-51.796253,-59.523613,3791,0,12170
Fiji,67228412,856180,-17.713371,178.065032,936375,51,18270
Finland,1210947924,7760606,61.92411,25.748151,5545475,18,303890
France,32547041968,185756417,46.603354,1.888334,64756584,118,547557
French Guiana,93660678,431158,3.933889,-53.125782,312155,4,82200
French Polynesia,77399671,682884,-17.679742,-149.406843,308872,84,3660
Gabon,53147040,337196,-0.803689,11.609444,2436566,9,257670
Gambia,14013614,418818,13.443182,-15.310139,2773168,274,10120
Georgia,1717668300,17164588,42.315407,43.356892,3728282,54,69490
Germany,30692981627,178143287,51.165691,10.451526,83294633,239,348560
Ghana,193952028,1621318,7.946527,-1.023194,34121985,150,227540
Gibraltar,18962375,128381,36.140751,-5.353585,32688,3269,10
Greece,4288615357,34753181,39.074208,21.824312,10341277,80,128900
Greenland,10431590,17451,71.706936,-42.604303,56643,0,410450
Grenada,16812889,223363,12.262776,-61.604171,126183,371,340
Guadeloupe,173762012,1032254,16.265,-61.551,395839,234,1690
Guam,45869135,415855,13.444304,144.793731,172952,320,540
Guatemala,1128555937,21275661,15.783471,-90.230759,18092026,169,107160
Guernsey,27785454,61674,49.465691,-2.585278,,,
Guinea,44103026,496509,9.945587,-9.696645,14190612,58,245720
Guinea-Bissau,10022862,192362,11.803749,-15.180413,2150842,76,28120
Guyana,69749322,1318512,4.860416,-58.93018,813834,4,196850
Haiti,37284098,951306,18.971187,-72.285215,11724763,425,27560
Honduras,510688889,12625450,15.199999,-86.241905,10593798,95,111890
Hong Kong,,,22.3193,114.1694,7491609,7135,1050
Hungary,2117751957,51724906,47.162494,19.503304,10156239,112,90530
Iceland,173041155,149916,64.963051,-19.020835,375318,4,100250
India,48926651289,599302657,20.593684,78.96288,1428627663,481,2973190
Indonesia,6695849682,171691661,-0.789275,113.921327,277534122,153,1811570
Iran,7963291761,165058297,32.427908,53.688046,89172767,55,1628550
Iraq,2694024450,30307634,33.223191,43.679291,45504560,105,434320
Ireland,1560644777,9684389,53.41291,-8.24389,5056935,73,68890
Isle of Man,32997690,121363,54.236107,-4.548056,84710,149,570
Israel,4351336977,13151763,31.046051,34.851612,9174520,424,21640
Italy,21644870561,212975311,41.87194,12.56738,58870762,200,294140
Jamaica,151303278,3415330,18.109581,-77.297508,2825544,261,10830
Japan,22205908646,55124955,36.204824,138.252924,123294513,338,364555
Jersey,55243548,162491,49.214439,-2.13125,,,
Jordan,1760122966,15670504,30.585164,36.238414,11337052,128,88780
Kazakhstan,1527048880,20519685,48.019573,66.923684,19606633,7,2699700
Kenya,372730864,6430744,-1.292066,36.821946,55100586,97,569140
Kiribati,3629216,15515,-3.370417,-168.734039,133515,165,810
Kosovo,273433522,3725686,42.602636,20.902977,,,
Kuwait,706599839,3055221,29.31166,47.481766,4310108,242,17820
Kyrgyzstan,86736591,1002493,41.20438,74.766098,6735347,35,191800
Laos,188695396,591359,19.85627,102.495496,7633779,33,230800
Latvia,842080629,7068571,56.879635,24.603189,1830211,29,62200
Lebanon,1241182104,11988017,33.854721,35.862285,5353930,523,10230
Lesotho,35729467,773159,-29.609988,28.233608,2330318,77,30360
Liberia,8584085,342909,6.428055,-9.429499,5418377,56,96320
Libya,531762385,6998800,26.3351,17.228331,6888388,4,1759540
Liechtenstein,18481038,97067,47.166,9.555373,39584,247,160
Lithuania,1199335974,9911655,55.169438,23.881275,2718352,43,62674
Low income,2418626451,52676112,,,,,
Luxembourg,324040855,1037840,49.815273,6.129583,654768,253,2590
Macao,,,22.198745,113.543873,704149,23472,30
Madagascar,74384711,1533965,-18.766947,46.869107,30325732,52,581795
Malawi,93834029,2915225,-13.254308,34.301525,20931751,222,94280
Malaysia,4651794185,36117828,4.210484,101.975766,34308525,104,328550
Maldives,181864582,335686,3.202778,73.22068,521021,1737,300
Mali,33859404,854190,17.570692,-3.996166,23293698,19,1220190
Malta,109131465,881892,35.937496,14.375416,535064,1672,320
Marshall Islands,10222619,10972,7.131474,171.184478,41996,233,180
Martinique,190106957,1022236,14.641528,-61.024174,366981,346,1060
Mauritania,65363379,1151580,21.00789,-10.940835,4862989,5,1030700
Mauritius,247072426,937138,-20.348404,57.552152,1300557,641,2030
Mayotte,42809129,229451,-12.8275,45.166244,335995,896,375
Mexico,7395257306,398087604,23.634501,-102.552784,128455567,66,1943950
Micronesia (country),15757031,39244,,,,,
Moldova,618788660,13066670,47.411631,28.369885,3435931,105,32850
Monaco,14349093,66504,43.750298,7.412841,36297,24360,1
Mongolia,934272292,2111005,46.862496,103.846656,3447157,2,1553560
Montenegro,247196251,2851185,42.708678,19.37439,626485,47,13450
Montserrat,1031810,6686,16.742498,-62.187366,4386,44,100
Morocco,1365102597,18659461,31.791702,-7.09262,37840044,85,446300
Mozambique,239730026,2400165,-18.665695,35.529562,33897354,43,786380
Myanmar,656884895,20534282,21.916221,95.955974,54577997,84,653290
Namibia,180375182,4290278,-22.95764,18.49041,2604172,3,823290
Nauru,3568134,694,-0.522778,166.931503,12780,639,20
Nepal,1095843350,13433803,28.394857,84.124008,30896590,216,143350
Netherlands,7865588010,28076613,52.132633,5.291266,17618299,522,33720
New Caledonia,64325568,296827,-20.904305,165.618042,292991,16,18280
New Zealand,1637483040,2148848,-40.900557,174.885971,5228100,20,263310
Nicaragua,17151097,308735,12.865416,-85.207229,7046310,59,120340
Niger,10507807,368816,17.607789,8.081666,27202843,21,1266700
Nigeria,305850193,3790176,9.081999,8.675277,223804632,246,910770
Niue,465384,,-19.054445,-169.867233,1935,7,260
North Korea,,,40.339852,127.510093,26160821,217,120410
North Macedonia,356652663,10913282,41.608635,21.745275,2085679,83,25220
Northern Cyprus,,,35.1264,33.4299,,,
Northern Ireland,,,54.7877,-6.4923,,,
Northern Mariana Islands,11425044,34992,15.0979,145.6739,49796,108,460
Norway,1306038266,4399597,60.472024,8.468946,5474360,15,365268
Oceania,10549291822,21639456,,,,,
Oman,449234780,5355890,21.512583,55.923255,4644384,15,309500
Pakistan,1773749582,35751089,30.375321,69.345116,240485658,312,770880
Palau,4798937,6737,7.51498,134.58252,18058,39,460
Palestine,731735201,6346252,31.9522,35.2332,,,
Panama,1016450263,10232479,8.537981,-80.782127,4468087,60,74340
Papua New Guinea,45739581,648296,-6.314993,143.95555,10329931,23,452860
Paraguay,751522642,21052311,-23.442503,-58.443832,6861524,17,397300
Peru,4481344550,267655670,-9.189967,-75.015152,34352719,27,1280000
Philippines,4102131707,66763515,12.879721,121.774017,117337368,394,298170
Pitcairn,2692,,-24.703615,-127.439308,,,
Poland,6542223249,128711768,51.919438,19.145136,41026067,134,306230
Portugal,4879762372,29130485,39.399872,-8.224454,10247605,112,91590
Puerto Rico,978635966,5795442,18.220833,-66.590149,3260314,368,8870
Qatar,507962241,816673,25.354826,51.183884,2716391,234,11610
Reunion,406897046,836910,-21.115141,55.536384,,,
Romania,3285644092,72065917,45.943161,24.96676,19892812,86,230170
Russia,21020726368,401887919,61.52401,105.318756,144444359,9,16376870
Rwanda,136315977,1541776,-1.940278,29.873888,14094683,571,24670
Saint Barthelemy,4905780,4793,17.9,-62.8333,10994,524,21
Saint Helena,1310536,,-24.143474,-10.030696,5314,14,390
Saint Kitts and Nevis,5889512,41724,17.357822,-62.782998,,,
Saint Lucia,27262441,389407,13.909444,-60.978893,180251,295,610
Saint Martin (French part),11236740,50446,18.0708,-63.0501,,,
Saint Pierre and Miquelon,2657798,1381,46.8852,-56.3159,,,
Saint Vincent and the Grenadines,9134069,111424,12.984305,-61.287228,,,
Samoa,12486990,22802,-13.759029,-172.104629,225681,80,2830
San Marino,21143669,149030,43.94236,12.457777,33642,561,60
Sao Tome and Principe,6676350,84885,0.18636,6.613081,,,
Saudi Arabia,946219903,11937121,23.885942,45.079162,36947025,17,2149690
Scotland,,,56.4907,-4.2026,,,
Senegal,98857944,2253766,14.497401,-14.452362,17763163,92,192530
Serbia,2356431267,17851649,44.016521,21.005859,7149077,82,87460
Seychelles,46921574,170524,-4.679574,55.491977,107660,234,460
Sierra Leone,9082538,161328,8.460555,-11.779889,8791092,122,72180
Singapore,1907130895,1533211,1.352083,103.819836,6014723,8592,700
Sint Maarten (Dutch part),10558700,98582,18.04248,-63.05483,,,
Slovakia,1724408387,22106282,48.669026,19.699024,5795199,121,48088
Slovenia,1166783680,9566661,46.151241,14.995463,2119675,105,20140
Solomon Islands,17978098,135726,-9.64571,160.156194,740424,26,27990
Somalia,29893849,1496596,5.152149,46.199616,18143378,29,627340
South Africa,4406224942,116529899,-30.559482,22.937506,60414495,50,1213090
South Korea,23237609843,26860886,35.907757,127.766922,51784059,533,97230
South Sudan,20191059,174636,4.859363,31.571251,11088796,18,610952
Spain,13313618559,141002109,40.463667,-3.74922,47519628,95,498800
Sri Lanka,690973484,16702899,7.873054,80.771797,21893579,349,62710
Sudan,71256219,5414583,12.862807,30.217636,48109006,27,1765048
Suriname,80518286,1424547,3.919305,-56.027783,623236,4,156000
Sweden,2677617636,26491284,60.128161,18.643501,10612086,26,410340
Switzerland,3862126593,16418555,46.818188,8.227512,8796669,223,39516
Syria,60476936,3454520,34.802075,38.996815,23227014,126,183630
Taiwan,,,23.69781,120.960515,23923276,676,35410
Tajikistan,23112795,164219,38.861034,71.276093,10143543,72,139960
Tanzania,39465581,847545,-6.369028,34.888822,67438106,76,885800
Thailand,4193461896,30828830,15.870032,100.992541,71801279,141,510890
Timor,23764562,135560,,,,,
Togo,40144077,314114,8.619543,0.824782,9053799,166,54390
Tokelau,26806,,-9.200636,-171.84841,1893,189,10
Tonga,12425284,9378,-21.178986,-175.198242,107773,150,720
Trinidad and Tobago,167756978,4007557,10.691803,-61.222503,1534937,299,5130
Tunisia,1152352410,31552873,33.886917,9.537499,12458223,80,155360
Turkey,16404821691,107437256,38.963745,35.243322,85816199,112,769630
Turkmenistan,,,38.969719,59.556278,6516100,14,469930
Turks and Caicos Islands,6589267,40241,21.694025,-71.797928,,,
Tuvalu,1604956,344,-7.109535,179.194347,11396,380,30
Uganda,179413540,3801083,1.373333,32.290275,48582334,243,199810
Ukraine,5444554847,112567027,48.379433,31.16558,36744634,63,579320
United Arab Emirates,1122625860,2760461,23.424076,53.847818,9516871,114,83600
United Kingdom,23021744756,261355366,55.378051,-3.435973,67736802,280,241930
United States,98673905427,1218863185,37.09024,-95.712891,339996563,37,9147420
United States Virgin Islands,21873432,128974,18.335765,-64.896335,,,
Uruguay,955851648,7991521,-32.522779,-55.765835,3423108,20,175020
Uzbekistan,162130469,990172,41.377491,64.585262,35163944,83,425400
Vanuatu,9086560,10759,-15.376706,166.959158,334506,27,12190
Vatican,36524,,41.902916,12.453389,,,
Venezuela,583892074,6302055,6.42375,-66.58973,28838499,33,882050
Vietnam,9435139451,40259697,14.058324,108.277199,98858950,319,310070
Wales,,,52.130661,-3.783712,,,
Wallis and Futuna,2365350,8094,-13.768752,-177.156097,,,
Western Sahara,,,24.215527,-12.885834,587259,2,266000
Yemen,13137134,2465452,15.552727,48.516388,34449825,65,527970
Zambia,349153234,4421391,-13.133897,27.849332,20569737,28,743390
Zimbabwe,257453691,5978413,-19.015438,29.154857,16665409,43,386850
Micronesia,,,7.4256,150.5508,544321,778,700
Timor-Leste,,,-8.874217,125.727539,1360596,91,14870
DR Congo,,,,,102262808,45,2267050
Côte d'Ivoire,,,,,28873034,91,318000
Czech Republic (Czechia),,,,,10495295,136,77240
State of Palestine,,,,,5371230,892,6020
Réunion,,,,,981796,393,2500
Cabo Verde,,,,,598682,149,4030
Brunei ,,,,,452524,86,5270
Sao Tome & Principe,,,,,231856,242,960
Curaçao,,,,,192077,433,444
St. Vincent & Grenadines,,,,,103698,266,390
U.S. Virgin Islands,,,,,98750,282,350
Saint Kitts & Nevis,,,,,47755,184,260
Turks and Caicos,,,,,46062,48,950
Sint Maarten,,,,,44222,1301,34
Saint Martin,,,,,32077,605,53
Caribbean Netherlands,,,,,27148,83,328
Wallis & Futuna,,,,,11502,82,140
Saint Pierre & Miquelon,,,,,5840,25,230
Holy See,,,,,518,1295,0
