country,latitude,longitude
Afghanistan,33.93911,67.709953
Africa,-8.783195,34.508523
Albania,41.153332,20.168331
Algeria,28.033886,1.6596259999999998
American Samoa,-14.270972,-170.132217
Andorra,42.546245,1.601554
Angola,-11.202692,17.873887
Anguilla,18.220554,-63.068615
Antigua and Barbuda,17.060816,-61.796428
Argentina,-38.416097,-63.616672
Armenia,40.069099,45.038189
Aruba,12.52111,-69.968338
Asia,34.047863,100.619655
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Bahamas,25.03428,-77.39628
Bahrain,26.0667,50.5577
Bangladesh,23.685,90.3563
Barbados,13.193887,-59.543198
Belarus,53.709807,27.953389
Belgium,50.503887,4.469936
Belize,17.189877,-88.49765
Benin,9.307690000000001,2.315834
Bermuda,32.321384,-64.75737
Bhutan,27.514162,90.433601
Bolivia,-16.290154,-63.588653
Bonaire Sint Eustatius and Saba,12.20189,-68.262383
Bosnia and Herzegovina,43.915886,17.679076
Botswana,-22.328474,24.684866
Brazil,-14.235004,-51.92528
British Virgin Islands,18.420695,-64.639968
Brunei,4.535277,114.727669
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Burundi,-3.373056,29.918886
Cambodia,12.565679,104.990963
Cameroon,7.369722,12.354722
Canada,56.130366,-106.346771
Cape Verde,16.002082,-24.013197
Cayman Islands,19.3133,-81.2546
Central African Republic,6.611111,20.939444
Chad,15.454166,18.732207
Chile,-35.675147,-71.542969
China,35.86166,104.195397
Colombia,4.570868,-74.297333
Comoros,-11.875001,43.872219
Congo,-0.228021,15.827659
Cook Islands,-21.236736,-159.777671
Costa Rica,9.748917,-83.753428
Cote d'Ivoire,7.539989,-5.54708
Croatia,45.1,15.2
Cuba,21.521757,-77.781167
Curacao,12.1696,-68.99002
Cyprus,35.126413,33.429859
Czechia,49.817492,15.472962
Democratic Republic of Congo,-4.038333,21.758664
Denmark,56.26392,9.501785
Djibouti,11.825137999999999,42.590275
Dominica,15.414999,-61.370976
Dominican Republic,18.735693,-70.162651
Ecuador,-1.831239,-78.183406
Egypt,26.820553,30.802498
El Salvador,13.794185,-88.89653
England,52.3555177,-1.1743197
Equatorial Guinea,1.650801,10.267895
Eritrea,15.179384,39.782334
Estonia,58.595272,25.013607
Eswatini,-26.522503,31.465866
Ethiopia,9.145,40.489673
Europe,54.526,15.2551
European Union,50.8467,4.3499
Faeroe Islands,61.892635,-6.911806
Falkland Islands,-51.796253,-59.523613
Fiji,-17.713371,178.065032
Finland,61.92411,25.748151
France,46.603354,1.888334
French Guiana,3.9338889999999997,-53.125782
French Polynesia,-17.679742,-149.406843
Gabon,-0.803689,11.609444
Gambia,13.443182,-15.310139
Georgia,42.315407,43.356892
Germany,51.165691,10.451526
Ghana,7.946527,-1.023194
Gibraltar,36.140751,-5.353585
Greece,39.074208,21.824312
Greenland,71.706936,-42.604303
Grenada,12.262776,-61.604171
Guadeloupe,16.265,-61.551
Guam,13.444304,144.793731
Guatemala,15.783471,-90.230759
Guernsey,49.465691,-2.5852779999999997
Guinea,9.945587,-9.696645
Guinea-Bissau,11.803749,-15.180413
Guyana,4.860416,-58.93018
Haiti,18.971187,-72.285215
Honduras,15.199999,-86.241905
Hong Kong,22.3193,114.1694
Hungary,47.162494,19.503304
Iceland,64.963051,-19.020835
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iran,32.427908,53.688046
Iraq,33.223191,43.679291
Ireland,53.41291,-8.24389
Isle of Man,54.236107,-4.548056
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Jamaica,18.109581,-77.297508
Japan,36.204824,138.252924
Jersey,49.214439,-2.13125
Jordan,30.585164,36.238414
Kazakhstan,48.019573,66.923684
Kenya,-1.292066,36.821946
Kiribati,-3.3704169999999998,-168.734039
Kosovo,42.602636,20.902977
Kuwait,29.31166,47.481766
Kyrgyzstan,41.20438,74.766098
Laos,19.85627,102.495496
Latvia,56.879635,24.603189
Lebanon,33.854721,35.862285
Lesotho,-29.609988,28.233608
Liberia,6.428055,-9.429499
Libya,26.3351,17.228331
Liechtenstein,47.166,9.555373
Lithuania,55.169438,23.881275
