id,Country,Population,Density(P/KMsq),Land_Area
1,India,1428627663,481,2973190
2,China,1425671352,152,9388211
3,United States,339996563,37,9147420
4,Indonesia,277534122,153,1811570
5,Pakistan,240485658,312,770880
6,Nigeria,223804632,246,910770
7,Brazil,216422446,26,8358140
8,Bangladesh,172954319,1329,130170
9,Russia,144444359,9,16376870
10,Mexico,128455567,66,1943950
11,Ethiopia,126527060,127,1000000
12,Japan,123294513,338,364555
13,Philippines,117337368,394,298170
14,Egypt,112716598,113,995450
15,DR Congo,102262808,45,2267050
16,Vietnam,98858950,319,310070
17,Iran,89172767,55,1628550
18,Turkey,85816199,112,769630
19,Germany,83294633,239,348560
20,Thailand,71801279,141,510890
21,United Kingdom,67736802,280,241930
22,Tanzania,67438106,76,885800
23,France,64756584,118,547557
24,South Africa,60414495,50,1213090
25,Italy,58870762,200,294140
26,Kenya,55100586,97,569140
27,Myanmar,54577997,84,653290
28,Colombia,52085168,47,1109500
29,South Korea,51784059,533,97230
30,Uganda,48582334,243,199810
31,Sudan,48109006,27,1765048
32,Spain,47519628,95,498800
33,Argentina,45773884,17,2736690
34,Algeria,45606480,19,2381740
35,Iraq,45504560,105,434320
36,Afghanistan,42239854,65,652860
37,Poland,41026067,134,306230
38,Canada,38781291,4,9093510
39,Morocco,37840044,85,446300
40,Saudi Arabia,36947025,17,2149690
41,Ukraine,36744634,63,579320
42,Angola,36684202,29,1246700
43,Uzbekistan,35163944,83,425400
44,Yemen,34449825,65,527970
45,Peru,34352719,27,1280000
46,Malaysia,34308525,104,328550
47,Ghana,34121985,150,227540
48,Mozambique,33897354,43,786380
49,Nepal,30896590,216,143350
50,Madagascar,30325732,52,581795
51,Côte d'Ivoire,28873034,91,318000
52,Venezuela,28838499,33,882050
53,Cameroon,28647293,61,472710
54,Niger,27202843,21,1266700
55,Australia,26439111,3,7682300
56,North Korea,26160821,217,120410
57,Taiwan,23923276,676,35410
58,Mali,23293698,19,1220190
59,Burkina Faso,23251485,85,273600
60,Syria,23227014,126,183630
61,Sri Lanka,21893579,349,62710
62,Malawi,20931751,222,94280
63,Zambia,20569737,28,743390
64,Romania,19892812,86,230170
65,Chile,19629590,26,743532
66,Kazakhstan,19606633,7,2699700
67,Chad,18278568,15,1259200
68,Ecuador,18190484,73,248360
69,Somalia,18143378,29,627340
70,Guatemala,18092026,169,107160
71,Senegal,17763163,92,192530
72,Netherlands,17618299,522,33720
73,Cambodia,16944826,96,176520
74,Zimbabwe,16665409,43,386850
75,Guinea,14190612,58,245720
76,Rwanda,14094683,571,24670
77,Benin,13712828,122,112760
78,Burundi,13238559,516,25680
79,Tunisia,12458223,80,155360
80,Bolivia,12388571,11,1083300
81,Haiti,11724763,425,27560
82,Belgium,11686140,386,30280
83,Jordan,11337052,128,88780
84,Dominican Republic,11332972,235,48320
85,Cuba,11194449,105,106440
86,South Sudan,11088796,18,610952
87,Sweden,10612086,26,410340
88,Honduras,10593798,95,111890
89,Czech Republic (Czechia),10495295,136,77240
90,Azerbaijan,10412651,126,82658
91,Greece,10341277,80,128900
92,Papua New Guinea,10329931,23,452860
93,Portugal,10247605,112,91590
94,Hungary,10156239,112,90530
95,Tajikistan,10143543,72,139960
96,United Arab Emirates,9516871,114,83600
97,Belarus,9498238,47,202910
98,Israel,9174520,424,21640
99,Togo,9053799,166,54390
100,Austria,8958960,109,82409
101,Switzerland,8796669,223,39516
102,Sierra Leone,8791092,122,72180
103,Laos,7633779,33,230800
104,Hong Kong,7491609,7135,1050
105,Serbia,7149077,82,87460
106,Nicaragua,7046310,59,120340
107,Libya,6888388,4,1759540
108,Paraguay,6861524,17,397300
109,Kyrgyzstan,6735347,35,191800
110,Bulgaria,6687717,62,108560
111,Turkmenistan,6516100,14,469930
112,El Salvador,6364943,307,20720
113,Congo,6106869,18,341500
114,Singapore,6014723,8592,700
115,Denmark,5910913,139,42430
116,Slovakia,5795199,121,48088
117,Central African Republic,5742315,9,622980
118,Finland,5545475,18,303890
119,Norway,5474360,15,365268
120,Liberia,5418377,56,96320
121,State of Palestine,5371230,892,6020
122,Lebanon,5353930,523,10230
123,New Zealand,5228100,20,263310
124,Costa Rica,5212173,102,51060
125,Ireland,5056935,73,68890
126,Mauritania,4862989,5,1030700
127,Oman,4644384,15,309500
128,Panama,4468087,60,74340
129,Kuwait,4310108,242,17820
130,Croatia,4008617,72,55960
131,Eritrea,3748901,37,101000
132,Georgia,3728282,54,69490
133,Mongolia,3447157,2,1553560
134,Moldova,3435931,105,32850
135,Uruguay,3423108,20,175020
136,Puerto Rico,3260314,368,8870
137,Bosnia and Herzegovina,3210847,63,51000
138,Albania,2832439,103,27400
139,Jamaica,2825544,261,10830
140,Armenia,2777970,98,28470
141,Gambia,2773168,274,10120
142,Lithuania,2718352,43,62674
143,Qatar,2716391,234,11610
144,Botswana,2675352,5,566730
145,Namibia,2604172,3,823290
146,Gabon,2436566,9,257670
147,Lesotho,2330318,77,30360
148,Guinea-Bissau,2150842,76,28120
149,Slovenia,2119675,105,20140
