Country,total_cases,total_deaths,latitude,longitude,Population,Density(P/KMsq),Land_Area
Afghanistan,229524001.0,8922687.0,33.93911,67.709953,42239854.0,65.0,652860.0
Albania,332165775.0,4067833.0,41.153332,20.168331,2832439.0,103.0,27400.0
Algeria,302386488.0,7927598.0,28.033886,1.6596259999999998,45606480.0,19.0,2381740.0
American Samoa,6308947.0,25829.0,-14.270972,-170.132217,43914.0,220.0,200.0
Andorra,45675891.0,196698.0,42.546245,1.601554,80088.0,170.0,470.0
Angola,106918389.0,2083898.0,-11.202692,17.873887,36684202.0,29.0,1246700.0
Anguilla,3298860.0,9931.0,18.220554,-63.068615,15899.0,177.0,90.0
Antigua and Barbuda,8320220.0,144612.0,17.060816,-61.796428,94298.0,214.0,440.0
Argentina,10113409510.0,152262484.0,-38.416097,-63.616672,45773884.0,17.0,2736690.0
Armenia,484082328.0,9567564.0,40.069099,45.038189,2777970.0,98.0,28470.0
Aruba,41396794.0,275427.0,12.52111,-69.968338,106277.0,590.0,180.0
Australia,8493824770.0,16268239.0,-25.274398,133.775136,26439111.0,3.0,7682300.0
Austria,4882744782.0,23599570.0,47.516231,14.550072,8958960.0,109.0,82409.0
Azerbaijan,860032966.0,10789492.0,40.143105,47.576927,10412651.0,126.0,82658.0
Bahamas,38312028.0,868897.0,25.03428,-77.39628,412623.0,41.0,10010.0
Bahrain,663390107.0,1742051.0,26.0667,50.5577,1485509.0,1955.0,760.0
Bangladesh,2210791531.0,33094023.0,23.685,90.3563,172954319.0,1329.0,130170.0
Barbados,87832467.0,494170.0,13.193887,-59.543198,281995.0,656.0,430.0
Belarus,1031253106.0,7487115.0,53.709807,27.953389,9498238.0,47.0,202910.0
Belgium,4410937009.0,40887186.0,50.503887,4.469936,11686140.0,386.0,30280.0
Belize,65482349.0,742632.0,17.189877,-88.49765,410825.0,18.0,22810.0
Benin,29212611.0,190633.0,9.307690000000001,2.315834,13712828.0,122.0,112760.0
Bermuda,16258930.0,151841.0,32.321384,-64.75737,64069.0,1281.0,50.0
Bhutan,49990477.0,17493.0,27.514162,90.433601,787424.0,21.0,38117.0
Bolivia,1136089210.0,26225214.0,-16.290154,-63.588653,12388571.0,11.0,1083300.0
Bonaire Sint Eustatius and Saba,10227722.0,39108.0,12.20189,-68.262383,,,
Bosnia and Herzegovina,425320108.0,17548259.0,43.915886,17.679076,3210847.0,63.0,51000.0
Botswana,318942181.0,2912491.0,-22.328474,24.684866,2675352.0,5.0,566730.0
Brazil,37650987467.0,796385382.0,-14.235004,-51.92528,216422446.0,26.0,8358140.0
British Virgin Islands,6698506.0,61370.0,18.420695,-64.639968,31538.0,210.0,150.0
Brunei,220818600.0,131603.0,4.535277,114.727669,,,
Bulgaria,1258263763.0,39808430.0,42.733883,25.48583,6687717.0,62.0,108560.0
Burkina Faso,24306290.0,421478.0,12.238333,-1.561593,23251485.0,85.0,273600.0
Burundi,47235150.0,16465.0,-3.373056,29.918886,13238559.0,516.0,25680.0
Cambodia,140722266.0,3092800.0,12.565679,104.990963,16944826.0,96.0,176520.0
Cameroon,139221006.0,2239496.0,7.369722,12.354722,28647293.0,61.0,472710.0
Canada,4328297090.0,53408711.0,56.130366,-106.346771,38781291.0,4.0,9093510.0
Cape Verde,65814298.0,465021.0,16.002082,-24.013197,,,
Cayman Islands,25857734.0,30116.0,19.3133,-81.2546,69310.0,289.0,240.0
Central African Republic,17836243.0,142738.0,6.611111,20.939444,5742315.0,9.0,622980.0
Chad,8593447.0,248512.0,15.454166,18.732207,18278568.0,15.0,1259200.0
Chile,4693622404.0,65482832.0,-35.675147,-71.542969,19629590.0,26.0,743532.0
China,52834165036.0,70720410.0,35.86166,104.195397,1425671352.0,152.0,9388211.0
Colombia,7012651860.0,163358773.0,4.570868,-74.297333,52085168.0,47.0,1109500.0
Comoros,9128387.0,191113.0,-11.875001,43.872219,852075.0,458.0,1861.0
Congo,27295176.0,423518.0,-0.228021,15.827659,6106869.0,18.0,341500.0
Cook Islands,5269597.0,1241.0,-21.236736,-159.777671,17044.0,71.0,240.0
Costa Rica,1121841340.0,9745661.0,9.748917,-83.753428,5212173.0,102.0,51060.0
Cote d'Ivoire,96949555.0,886048.0,7.539989,-5.54708,,,
Croatia,1215874945.0,18180189.0,45.1,15.2,4008617.0,72.0,55960.0
Cuba,1116145860.0,8695222.0,21.521757,-77.781167,11194449.0,105.0,106440.0
Curacao,43383779.0,294739.0,12.1696,-68.99002,,,
Cyprus,548976038.0,1238758.0,35.126413,33.429859,1260138.0,136.0,9240.0
Czechia,4520106414.0,47409880.0,49.817492,15.472962,,,
