Row Labels,Sum of total_cases,Sum of icu_patients,Count of continent,Sum of total_deaths
Afghanistan,229524001,,1604,8922687
Africa,13696752687,,,288818204
Albania,332165775,,1604,4067833
Algeria,302386488,16593,1604,7927598
American Samoa,6308947,,1604,25829
Andorra,45675891,,1604,196698
Angola,106918389,,1604,2083898
Anguilla,3298860,,1604,9931
Antigua and Barbuda,8320220,,1604,144612
Argentina,10113409510,1898676,1608,152262484
Armenia,484082328,,1604,9567564
Aruba,41396794,,1604,275427
Asia,2.31E+11,,,1675803264
Australia,8493824770,97483,1604,16268239
Austria,4882744782,203498,1604,23599570
Azerbaijan,860032966,,1604,10789492
Bahamas,38312028,,1604,868897
Bahrain,663390107,,1604,1742051
Bangladesh,2210791531,,1620,33094023
Barbados,87832467,,1604,494170
Belarus,1031253106,,1604,7487115
Belgium,4410937009,346686,1604,40887186
Belize,65482349,,1604,742632
Benin,29212611,,1604,190633
Bermuda,16258930,,1604,151841
Bhutan,49990477,,1604,17493
Bolivia,1136089210,43190,1604,26225214
Bonaire Sint Eustatius and Saba,10227722,,1604,39108
Bosnia and Herzegovina,425320108,,1604,17548259
Botswana,318942181,,1604,2912491
Brazil,37650987467,,1604,796385382
British Virgin Islands,6698506,,1604,61370
Brunei,220818600,,1604,131603
Bulgaria,1258263763,36978,1620,39808430
Burkina Faso,24306290,,1604,421478
Burundi,47235150,,1604,16465
Cambodia,140722266,,1604,3092800
Cameroon,139221006,,1604,2239496
Canada,4328297090,437107,1614,53408711
Cape Verde,65814298,,1604,465021
Cayman Islands,25857734,,1604,30116
Central African Republic,17836243,,1604,142738
Chad,8593447,,1604,248512
Chile,4693622404,992989,1604,65482832
China,52834165036,,1604,70720410
Colombia,7012651860,,1604,163358773
Comoros,9128387,,1604,191113
Congo,27295176,,1604,423518
Cook Islands,5269597,,1604,1241
Costa Rica,1121841340,,1604,9745661
Cote d'Ivoire,96949555,,1604,886048
Croatia,1215874945,,1604,18180189
Cuba,1116145860,,1604,8695222
Curacao,43383779,,1604,294739
Cyprus,548976038,12418,1604,1238758
Czechia,4520106414,352003,1620,47409880
Democratic Republic of Congo,100521558,,1604,1685250
Denmark,2948674588,33781,1604,7894215
Djibouti,18732059,,1604,227045
Dominica,13669260,,1604,65041
Dominican Republic,691146843,,1604,5534209
Ecuador,1054160171,,1604,42284787
Egypt,561535727,,1604,28175771
El Salvador,202311400,,1604,4758595
England,,681300,1359,
Equatorial Guinea,19069716,,1604,220515
Eritrea,10720672,,1604,99475
Estonia,552523803,2243,1619,2831754
Eswatini,76003950,,1604,1567488
Ethiopia,541784963,,1604,8371069
Europe,2.19E+11,,,2213997413
European Union,1.58E+11,,,1338699156
Faeroe Islands,29964964,,1604,24990
Falkland Islands,1447794,,1604,
Fiji,67228412,,1604,856180
Finland,1210947924,20894,1604,7760606
France,32547041968,2269590,1604,185756417
French Guiana,93660678,,1604,431158
French Polynesia,77399671,,1604,682884
Gabon,53147040,,1604,337196
Gambia,14013614,,1604,418818
Georgia,1717668300,,1604,17164588
Germany,30692981627,2114856,1604,178143287
Ghana,193952028,,1604,1621318
