Country,total_cases,total_deaths,latitude,longitude,Population,Density(P/KMsq),Land_Area
United States,111820082,1219487,37.09024,-95.712891,339996563,37,9147420
India,45035393,533570,20.593684,78.96288,1428627663,481,2973190
France,40138560,167642,46.603354,1.888334,64756584,118,547557
Germany,38828995,183027,51.165691,10.451526,83294633,239,348560
Brazil,38743918,711380,-14.235004,-51.92528,216422446,26,8358140
South Korea,34571873,35934,35.907757,127.766922,51784059,533,97230
Japan,33803572,74694,36.204824,138.252924,123294513,338,364555
Italy,26723249,196487,41.87194,12.56738,58870762,200,294140
England,24910387,232112,52.3555177,-1.1743197,67736802,280,241930
Russia,24124215,402756,61.52401,105.318756,144444359,9,16376870
Turkey,17232066,102174,38.963745,35.243322,85816199,112,769630
Spain,13914811,121760,40.463667,-3.74922,47519628,95,498800
Australia,11853144,24414,-25.274398,133.775136,26439111,3,7682300
Vietnam,11625195,43206,14.058324,108.277199,98858950,319,310070
Taiwan,10241523,19005,23.69781,120.960515,23923276,676,35410
Argentina,10128845,130841,-38.416097,-63.616672,45773884,17,2736690
Netherlands,8635786,22992,52.132633,5.291266,17618299,522,33720
Mexico,7702809,334958,23.634501,-102.552784,128455567,66,1943950
Iran,7627186,146811,32.427908,53.688046,89172767,55,1628550
Indonesia,6829221,162063,-0.789275,113.921327,277534122,153,1811570
Poland,6661991,120598,51.919438,19.145136,41026067,134,306230
Colombia,6400173,143200,4.570868,-74.297333,52085168,47,1109500
Greece,6101379,37869,39.074208,21.824312,10341277,80,128900
Austria,6081287,22542,47.516231,14.550072,8958960,109,82409
Portugal,5643062,28126,39.399872,-8.224454,10247605,112,91590
Ukraine,5557995,112418,48.379433,31.16558,36744634,63,579320
Chile,5384853,64497,-35.675147,-71.542969,19629590,26,743532
Malaysia,5278406,37348,4.210484,101.975766,34308525,104,328550
Canada,4946090,59034,56.130366,-106.346771,38781291,4,9093510
Belgium,4861695,34376,50.503887,4.469936,11686140,386,30280
Israel,4841772,12707,31.046051,34.851612,9174520,424,21640
North Korea,4772813,74,40.339852,127.510093,26160821,217,120410
Thailand,4770149,34586,15.870032,100.992541,71801279,141,510890
Peru,4572667,222161,-9.189967,-75.015152,34352719,27,1280000
Switzerland,4453053,14452,46.818188,8.227512,8796669,223,39516
Philippines,4140383,66864,12.879721,121.774017,117337368,394,298170
South Africa,4076463,102595,-30.559482,22.937506,60414495,50,1213090
Romania,3529735,68929,45.943161,24.96676,19892812,86,230170
Denmark,3183756,8814,56.26392,9.501785,5910913,139,42430
Singapore,3006155,2024,1.352083,103.819836,6014723,8592,700
Sweden,2754129,27407,60.128161,18.643501,10612086,26,410340
New Zealand,2621111,5697,-40.900557,174.885971,5228100,20,263310
Serbia,2615054,18057,44.016521,21.005859,7149077,82,87460
Iraq,2465545,25375,33.223191,43.679291,45504560,105,434320
Hungary,2230232,49048,47.162494,19.503304,10156239,112,90530
Bangladesh,2049377,29493,23.685,90.3563,172954319,1329,130170
Slovakia,1877605,21224,48.669026,19.699024,5795199,121,48088
Georgia,1861665,17132,42.315407,43.356892,3728282,54,69490
Jordan,1746997,14122,30.585164,36.238414,11337052,128,88780
Ireland,1734582,9491,53.41291,-8.24389,5056935,73,68890
Pakistan,1581936,30664,30.375321,69.345116,240485658,312,770880
Finland,1516117,11958,61.92411,25.748151,5545475,18,303890
Norway,1509732,6638,60.472024,8.468946,5474360,15,365268
Kazakhstan,1411831,13848,48.019573,66.923684,19606633,7,2699700
Lithuania,1397806,9897,55.169438,23.881275,2718352,43,62674
Slovenia,1356546,7100,46.151241,14.995463,2119675,105,20140
Bulgaria,1339851,38748,42.733883,25.48583,6687717,62,108560
Croatia,1309728,18687,45.1,15.2,4008617,72,55960
Guatemala,1291293,20289,15.783471,-90.230759,18092026,169,107160
Morocco,1278992,16303,31.791702,-7.09262,37840044,85,446300
Lebanon,1243838,10952,33.854721,35.862285,5353930,523,10230
Costa Rica,1238883,9428,9.748917,-83.753428,5212173,102,51060
Bolivia,1212131,22407,-16.290154,-63.588653,12388571,11,1083300
Tunisia,1153361,29423,33.886917,9.537499,12458223,80,155360
Cuba,1115251,8530,21.521757,-77.781167,11194449,105,106440
Ecuador,1070188,36043,-1.831239,-78.183406,18190484,73,248360
United Arab Emirates,1067030,2349,23.424076,53.847818,9516871,114,83600
Panama,1059893,8727,8.537981,-80.782127,4468087,60,74340
Uruguay,1041111,7664,-32.522779,-55.765835,3423108,20,175020
Mongolia,1011496,2284,46.862496,103.846656,3447157,2,1553560
Nepal,1003450,12031,28.394857,84.124008,30896590,216,143350
Belarus,994037,7118,53.709807,27.953389,9498238,47,202910
Latvia,982505,6715,56.879635,24.603189,1830211,29,62200
Saudi Arabia,841469,9646,23.885942,45.079162,36947025,17,2149690
Paraguay,837602,20155,-23.442503,-58.443832,6861524,17,397300
Azerbaijan,835234,10400,40.143105,47.576927,10412651,126,82658
Bahrain,729549,1574,26.0667,50.5577,1485509,1955,760
Cyprus,681110,1365,35.126413,33.429859,1260138,136,9240
Dominican Republic,675890,4384,18.735693,-70.162651,11332972,235,48320
Sri Lanka,672754,16897,7.873054,80.771797,21893579,349,62710
Kuwait,667158,2570,29.31166,47.481766,4310108,242,17820
Myanmar,641873,19495,21.916221,95.955974,54577997,84,653290
Moldova,635145,12218,47.411631,28.369885,3435931,105,32850
Estonia,628070,3001,58.595272,25.013607,1322765,31,42390
Palestine,621008,5404,31.9522,35.2332,5371230,892,6020
Venezuela,552695,5856,6.42375,-66.58973,28838499,33,882050
Egypt,516023,24613,26.820553,30.802498,112716598,113,995450
Qatar,514524,690,25.354826,51.183884,2716391,234,11610
Libya,507274,6437,26.3351,17.228331,6888388,4,1759540
China,3440911,20196,35.86166,104.195397,1425671352,152,9388211
Ethiopia,501157,7574,9.145,40.489673,126527060,127,1000000
Honduras,474590,11165,15.199999,-86.241905,10593798,95,111890
Armenia,451831,8777,40.069099,45.038189,2777970,98,28470
Bosnia and Herzegovina,403615,16388,43.915886,17.679076,3210847,63,51000
Oman,399449,4628,21.512583,55.923255,4644384,15,309500
Luxembourg,391232,1232,49.815273,6.129583,654768,253,2590
North Macedonia,350567,9976,41.608635,21.745275,2085679,83,25220
Zambia,349304,4069,-13.133897,27.849332,20569737,28,743390
Kenya,344130,5689,-1.292066,36.821946,55100586,97,569140
Albania,334863,3605,41.153332,20.168331,2832439,103,27400
Botswana,330638,2801,-22.328474,24.684866,2675352,5,566730
Montenegro,296542,2846,42.708678,19.374390000000002,626485,47,13450
Algeria,272010,6881,28.033886,1.6596259999999998,45606480,19,2381740
Nigeria,267188,3155,9.081999,8.675277,223804632,246,910770
Zimbabwe,266359,5740,-19.015438,29.154857,16665409,43,386850
Uzbekistan,253662,1637,41.377491,64.585262,35163944,83,425400
Afghanistan,234174,7996,33.93911,67.709953,42239854,65,652860
Mozambique,233731,2250,-18.665695,35.529562,33897354,43,786380
Martinique,230354,1102,14.641528,-61.024174,366981,346,1060
Laos,218970,758,19.85627,102.495496,7633779,33,230800
Iceland,209906,229,64.963051,-19.020835,375318,4,100250
Kyrgyzstan,206897,2991,41.20438,74.766098,6735347,35,191800
Guadeloupe,203235,1021,16.265,-61.551,395839,234,1690
El Salvador,201855,4230,13.794185,-88.89653,6364943,307,20720
Trinidad and Tobago,191496,4390,10.691803,-61.222503,1534937,299,5130
Maldives,186694,316,3.202778,73.22068,521021,1737,300
